Variables;MILP Feasible;result
X_6_1_9;0;0
X_6_2_9;0;0
X_6_3_9;0;0
X_6_4_9;0;0
X_7_1_9;0;0
X_7_2_9;0;0
X_7_3_9;0;0
X_7_4_9;0;0
X_8_1_9;0;0
X_8_2_9;0;0
X_8_3_9;0;0
X_8_4_9;0;0
X_9_1_9;0;0
X_9_2_9;0;0
X_9_3_9;0;0
X_9_4_9;0;0
X_10_1_9;0;0
X_10_2_9;0;0
X_10_3_9;0;0
X_10_4_9;0;0
X_1_1_10;0;0
X_1_2_10;0;0
X_1_3_10;0;0
X_1_4_10;0;0
X_2_1_10;0;0
X_2_2_10;0;0
X_2_3_10;0;0
X_2_4_10;0;0
X_3_1_10;0;0
X_3_2_10;0;0
X_3_3_10;0;0
X_3_4_10;0;0
X_4_1_10;0;0
X_4_2_10;0;0
X_4_3_10;0;0
X_4_4_10;0;0
X_5_1_10;0;0
X_5_2_10;0;0
X_5_3_10;0;0
X_5_4_10;0;0
X_6_1_10;0;0
X_6_2_10;0;0
X_6_3_10;0;0
X_6_4_10;0;0
X_7_1_10;0;0
X_7_2_10;0;0
X_7_3_10;0;0
X_7_4_10;0;0
X_8_1_10;0;0
X_8_2_10;0;0
X_8_3_10;0;0
X_8_4_10;0;0
X_9_1_10;0;0
X_9_2_10;0;0
X_9_4_10;0;0
X_10_1_10;0;0
X_10_2_10;0;0
X_10_3_10;0;0
X_10_4_10;0;0
X_1_1_11;0;0
X_1_2_11;0;0
X_1_3_11;0;0
X_1_4_11;0;0
X_2_1_11;0;0
X_2_2_11;0;0
X_2_3_11;0;0
X_2_4_11;0;0
X_3_1_11;0;0
X_3_2_11;0;0
X_3_3_11;0;0
X_3_4_11;0;0
X_4_1_11;0;0
X_4_2_11;0;0
X_4_3_11;0;0
X_4_4_11;0;0
X_5_1_11;0;0
X_5_2_11;0;0
X_5_3_11;0;0
X_5_4_11;0;0
X_6_1_11;0;0
X_6_2_11;0;0
X_6_3_11;0;0
X_6_4_11;0;0
X_7_1_11;0;0
X_7_2_11;0;0
X_7_3_11;0;0
X_7_4_11;0;0
X_8_1_11;0;0
X_8_2_11;0;0
X_8_3_11;0;0
X_8_4_11;0;0
X_9_1_11;0;0
X_9_2_11;0;0
X_9_4_11;0;0
X_10_1_11;0;0
X_10_2_11;0;0
X_10_3_11;0;0
X_10_4_11;0;0
X_1_1_12;0;0
X_1_2_12;0;0
X_1_3_12;0;0
X_1_4_12;0;0
X_2_1_12;0;0
X_2_2_12;0;0
X_2_3_12;0;0
X_2_4_12;0;0
X_3_1_12;0;0
X_3_2_12;0;0
X_3_3_12;0;0
X_3_4_12;0;0
X_4_1_12;0;0
X_4_2_12;0;0
X_4_3_12;0;0
X_4_4_12;0;0
X_5_1_12;0;0
X_5_2_12;0;0
X_5_3_12;0;0
X_5_4_12;0;0
X_6_1_12;0;0
X_6_2_12;0;0
X_6_3_12;0;0
X_6_4_12;0;0
X_7_1_12;0;0
X_7_2_12;0;0
X_7_3_12;0;0
X_7_4_12;0;0
X_8_1_12;0;0
X_8_2_12;0;0
X_8_3_12;0;0
X_8_4_12;0;0
X_9_1_12;0;0
X_9_2_12;0;0
X_9_4_12;0;0
X_10_1_12;0;0
X_10_2_12;0;0
X_10_3_12;0;0
X_10_4_12;0;0
X_1_1_13;0;0
X_1_2_13;0;0
X_1_3_13;0;0
X_1_4_13;0;0
X_2_1_13;0;0
X_2_2_13;0;0
X_2_3_13;0;0
X_2_4_13;0;0
X_3_1_13;0;0
X_3_2_13;0;0
X_3_3_13;0;0
X_3_4_13;0;0
X_4_1_13;0;0
X_4_2_13;0;0
X_4_3_13;0;0
X_4_4_13;0;0
X_5_1_13;0;0
X_5_2_13;0;0
X_5_3_13;0;0
X_5_4_13;0;0
X_6_1_13;0;0
X_6_2_13;0;0
X_6_3_13;0;0
X_6_4_13;0;0
X_7_1_13;0;0
X_7_2_13;0;0
X_7_3_13;0;0
X_7_4_13;0;0
X_8_1_13;0;0
X_8_2_13;0;0
X_8_3_13;0;0
X_8_4_13;0;0
X_9_1_13;0;0
X_9_2_13;0;0
X_9_4_13;0;0
X_10_1_13;0;0
X_10_2_13;0;0
X_10_3_13;0;0
X_10_4_13;0;0
X_1_1_14;0;0
X_1_2_14;0;0
X_1_3_14;0;0
X_1_4_14;0;0
X_2_1_14;0;0
X_2_2_14;0;0
X_2_3_14;0;0
X_2_4_14;0;0
X_3_1_14;0;0
X_3_2_14;0;0
X_3_3_14;0;0
X_3_4_14;0;0
X_4_1_14;0;0
X_4_2_14;0;0
X_4_3_14;0;0
X_4_4_14;0;0
X_5_1_14;0;0
X_5_2_14;0;0
X_5_3_14;0;0
X_5_4_14;0;0
X_6_1_14;0;0
X_6_2_14;0;0
X_6_3_14;0;0
X_7_1_14;0;0
X_7_2_14;0;0
X_7_3_14;0;0
X_7_4_14;0;0
X_8_1_14;0;0
X_8_2_14;0;0
X_8_3_14;0;0
X_8_4_14;0;0
X_9_1_14;0;0
X_9_2_14;0;0
X_9_3_14;0;0
X_9_4_14;0;0
X_10_1_14;0;0
X_10_2_14;0;0
X_10_3_14;0;0
X_10_4_14;0;0
X_1_1_15;0;0
X_1_2_15;0;0
X_1_3_15;0;0
X_1_4_15;0;0
X_2_1_15;0;0
X_2_2_15;0;0
X_2_3_15;0;0
X_2_4_15;0;0
X_3_1_15;0;0
X_3_2_15;0;0
X_3_3_15;0;0
